name,latitud,longitud,category
Escuela Infantil Municipal “Ana María Matute”,39.861411335770136,-3.9470288157463074,'Preschool'
Madre Tierra,39.85661740496049,-4.022342701283646,'Vegetarian / Vegan Restaurant'
Fruteria Santos,39.94069729251344,-3.9915668964385986,'Vegetarian / Vegan Restaurant'
Frutas Hermanos Farelo,39.962243411982264,-4.194303454390615,'Vegetarian / Vegan Restaurant'
Parque De La Vega,39.86376056605383,-4.024855771044357,'Park'
Parque del Tránsito,39.855197747383876,-4.029607999530039,'Park'
Parque de las Tres Culturas,39.87345046683832,-4.031424522399902,'Park'
Parque del Miradero,39.86079658142813,-4.021051603334701,'Park'
Parque Los Gavilanes,39.89879464326042,-4.015143230870805,'Park'
Parque de La Legua,39.889317233595385,-4.066740745552622,'Park'
Paseo Del Carmen,39.860049952086506,-4.018613210988971,'Park'
Parque Del Pilar,40.054756,-3.992189,'Park'
Parque De Yuncos,40.08712975231286,-3.875276818497297,'Park'
Polideportivo Municipal de Bargas,39.944609,-4.016556,'Basketball Court'
Pabellon Javier Lozano,39.865230575411765,-4.009933711065192,'Basketball Court'
Pabellón de deportes de Yuncos,40.081642,-3.873404,'Basketball Court'
Polideportivo El nido,40.24057458916693,-3.7770312716608214,'Basketball Court'
Estación de Tren de Toledo,39.86236807235961,-4.011057410995145,'Train Station'
Atocha Madrid,39.86243131502695,-4.021335513042948,'Train Station'
Avant Toledo - Madrid,39.86263518281453,-4.0105418768210646,'Train'
Ave Toledo-Madrid asiento 1A,39.862313848129745,-4.011184358703726,'Train'
Toledo Train Vision,39.85974416693905,-4.0214053175380045,'Train'
Puente de Alcántara,39.860390135805645,-4.017396569252014,'Bridge'
Estación de Torrijos,39.978944648772014,-4.282933401337417,'Train Station'
